$ sh -c pmset -g log | grep -E "Sleep|Wake|DarkWake|Display is turned|Notification" | tail -400
2026-09-15 06:42:03 -0400 Assertions          	PID 45529(AddressBookSourceSync) Released PreventUserIdleSystemSleep "Address Book Source Sync" 00:00:30  id:0x0x1000097f6 [System: PrevIdle]          
2026-09-15 06:52:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 13:21:54  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 06:52:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 17:28:50  id:0x0x100008f48 [System: PrevIdle]          
2026-09-15 06:52:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 94:18:12  id:0x0x10000a509 [System: PrevIdle]          
2026-09-15 06:52:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 131:31:43 id:0x0x1000089f7 [System: PrevIdle]          
2026-09-15 07:03:54 -0400 Assertions          	PID 409(WindowServer) Created PreventSystemSleep "com.apple.WindowServer.PUIDS" 00:00:00  id:0x0x7000098c9 [System: PrevIdle PrevSleep DeclUser kCPU kDisp]          
2026-09-15 07:03:54 -0400 Notification        	Display is turned on                                                       	          
2026-09-15 07:03:54 -0400 Assertions          	PID 409(WindowServer) Created UserIsActive "com.apple.iohideventsystem.queue.tickle serviceID:10030f772 service:AppleUserHIDEventService product:MX Vertical eventType:17" 00:00:00  id:0x0x9000098cb [System: PrevIdle PrevSleep DeclUser kCPU kDisp]          
2026-09-15 07:03:54 -0400 Assertions          	PID 409(WindowServer) Released PreventSystemSleep "com.apple.WindowServer.PUIDS" 00:00:00  id:0x0x7000098c9 [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:05:51 -0400 Assertions          	PID 400(bluetoothd) Released PreventUserIdleSystemSleep "com.apple.BTStack" 00:01:28  id:0x0x1000098da [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:07:34 -0400 Assertions          	PID 400(bluetoothd) Summary PreventUserIdleSystemSleep "com.apple.BTStack" 00:00:17  id:0x0x1000098ef [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:07:34 -0400 Assertions          	PID 551(backupd) Summary PreventUserIdleSystemSleep "Backup Job" 00:02:50  id:0x0x1000098e0 [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:07:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "Handoff" 00:03:20  id:0x0x1000098d2 [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:07:34 -0400 Assertions          	PID 351(powerd) Summary PreventUserIdleSystemSleep "Powerd - Prevent sleep while display is on" 00:03:40  id:0x0x1000098ca [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:07:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 13:36:54  id:0x0x1000089ba [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:07:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 17:43:50  id:0x0x100008f48 [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:07:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 94:33:12  id:0x0x10000a509 [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:07:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 131:46:44 id:0x0x1000089f7 [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:10:23 -0400 Assertions          	PID 657(sharingd) Released PreventUserIdleSystemSleep "Handoff" 00:06:08  id:0x0x1000098d2 [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:16:03 -0400 Assertions          	PID 551(backupd) Released PreventUserIdleSystemSleep "Backup Job" 00:11:18  id:0x0x1000098e0 [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:22:34 -0400 Assertions          	PID 351(powerd) Summary PreventUserIdleSystemSleep "Powerd - Prevent sleep while display is on" 00:18:40  id:0x0x1000098ca [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:22:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 13:51:53  id:0x0x1000089ba [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:22:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 17:58:50  id:0x0x100008f48 [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:22:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 94:48:12  id:0x0x10000a509 [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:22:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 132:01:43 id:0x0x1000089f7 [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:25:48 -0400 Assertions          	PID 428(coreaudiod) TurnedOff PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 18:02:04  id:0x0x100008f48 [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:25:48 -0400 Assertions          	PID 428(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context16382.preventuseridledisplaysleep" 17:26:45  id:0x0x500009bbf [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:25:48 -0400 Assertions          	PID 428(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context16382.preventuseridlesleep" 17:26:45  id:0x0x100009bbe [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:25:48 -0400 Assertions          	PID 428(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context16316.preventuseridledisplaysleep" 18:02:04  id:0x0x50000995e [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:25:48 -0400 Assertions          	PID 428(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context16316.preventuseridlesleep" 18:02:04  id:0x0x10000995d [System: PrevIdle DeclUser kDisp]          
2026-09-15 07:30:15 -0400 Assertions          	PID 400(bluetoothd) Released PreventUserIdleSystemSleep "com.apple.BTStack" 00:01:40  id:0x0x1000091f7 [System: PrevIdle DeclUser kDisp]          
